centil,renta
79,19585.615134357653
80,19999.529932240355
81,20246.328558777997
82,20998.61726180032
83,21168.84455281447
84,21998.71212952752
85,22413.2713888752
86,23000.79543490446
87,23861.350577502224
88,24390.562518517338
89,25118.391189352875
90,26000.133376987276
91,26888.232532258484
92,27776.760924206
93,28713.884197881805
94,29848.937942551885
95,31325.04426733079
96,32840.886767506134
97,34859.59686809894
98,37466.47367211023
99,42003.1074537784
100,69667.5755910902
1,0.5377991507533009
2,1.580141151136092
3,2.619165725732458
4,3.6481005758680176
5,252.03229994174697
6,996.422256546989
7,998.2637396639182
8,1000.1299414044584
9,1001.9875920189515
10,1003.8667435234707
11,1885.5526132494456
12,1997.9644960672777
13,2000.0712931805108
14,2002.199935197492
15,2202.338747236456
16,2996.5686117951414
17,2998.823574882343
18,3001.0313983377296
19,3003.317631879417
20,3755.820802687218
21,3997.9732257985834
22,4000.296441572224
23,4002.591006863555
24,4450.823751344276
25,4997.085729317805
26,4999.313434014305
27,5001.554530044161
28,5003.803375364029
29,5950.840330646904
30,5998.405237030577
31,6000.871141566016
32,6003.2477900838085
33,6755.017811861307
34,6998.031164788416
35,7000.3363803063385
36,7002.75200349906
37,7551.693784464451
38,7997.375736276905
39,7999.664229074437
40,8001.945360377531
41,8143.763419820651
42,8996.468798210204
43,8998.75339144851
44,9000.977626446349
45,9003.188613295246
46,9667.858576703296
47,9997.73657872974
48,10000.054065483831
49,10002.291966195791
50,10290.72158830162
51,10996.7946034568
52,10999.091417303584
53,11001.358082764402
54,11003.56525839936
55,11839.67909624891
56,11998.07954562497
57,12000.401669992329
58,12002.655409955298
59,12471.34432467919
60,12997.351164279553
61,12999.739744454062
62,13002.089293744428
63,13265.65569175369
64,13996.829403784352
65,13999.3189693627
66,14001.834757307908
67,14206.53237189987
68,14996.862993450126
69,14999.419036548788
70,15001.975401791562
71,15302.8075096684
72,15997.125171936865
73,15999.793551212748
74,16002.45016404006
75,16501.683379168804
76,16997.900986121764
77,17000.687655565605
78,17003.536007492283
79,17976.841395331354
80,18000.25085857955
81,18157.56668953184
82,18997.76050975916
83,19001.95969571051
84,19773.77097168593
85,20001.29971319649
86,20753.991923242014
87,21002.18064421351
